"Year","rtCode","ptCode","NW_M","TV_M","NW_X","TV_X","UV_M","UV_X","metaData"
2013,454,699,217.635243280586,198.76677303,0,0,913.302321966944,0,NA
2013,454,710,105569.05,428967.19388943,96373,332500.21784984,4063.38026049709,3450.13870949166,NA
2013,454,716,15191,48778.680531,0,0,3211.02498393786,0,NA
2013,454,792,34,49.35867321,0,0,1451.72568264706,0,NA
2013,454,894,31556210,13836052.7872684,28299757,48107952.1846355,438.457368209567,1699.9422357102,NA
2013,458,32,1427315200,433129509.828477,1128859010,297883618,303.45750527177,263.880267917603,NA
2013,458,36,2769616.48999023,1074234.42042873,3121880,1073659.5248455,387.863960339331,343.9144120996,NA
2013,458,56,22000,13120.09476312,0,0,596.367943778182,0,NA
2013,458,76,1020528928,286867850.653881,1002289109,220734488,281.097225941528,220.230356708386,NA
2013,458,96,0,0,360,936.0021762,0,2600.006045,NA
2013,458,104,360375,105125.80671336,360375,94613.226042024,291.712262818897,262.541036537007,"mirrored export for non-reporter"
2013,458,152,5210,10047.01663518,0,0,1928.41010272169,0,NA
2013,458,156,13045,9168.45019662,0,0,702.832517947106,0,NA
2013,458,251,1902000,1235165.06604915,0,0,649.40329445276,0,NA
2013,458,360,123245,192233.38380816,131895,78922,1559.76618774117,598.369915463058,NA
2013,458,410,0,0,10,9,0,900,NA
2013,458,422,0,0,50,70.0988479,0,1401.976958,NA
2013,458,554,200,230.75065059,0,0,1153.75325295,0,NA
2013,458,586,41255746,11933845.9783854,78024000,17114855.2723986,289.26506330501,219.353727986242,NA
2013,458,600,24854296,7198602.03819174,24854296,6478741.83437257,289.632103769575,260.668893392618,"mirrored export for non-reporter"
2013,458,608,161758.5,103550.22730548,0,0,640.153236494404,0,NA
2013,458,699,720721568,209699836.567368,1030524104,266217576.231625,290.958181186785,258.33221678008,NA
2013,458,702,430,702.09138804,131225.746521653,40523.8527048,1632.77066986047,308.810228015075,NA
2013,458,704,488974,150411.97084662,0,0,307.607297824874,0,NA
2013,458,710,162881.203125,167024.11328208,282594,278618.84406464,1025.43516426448,985.933332146613,NA
2013,458,764,48275835,14647709.4583931,66376857,17998930,303.417008911251,271.162733722086,NA
2013,458,784,1112060,364835.18785065,1112060,328351.669065585,328.071496007994,295.264346407195,"mirrored export for non-reporter"
2013,458,804,67892870,16407616.7391401,70354367,12118043.3,241.669217093637,172.242944066287,NA
2013,458,826,12372,7357.3591206,0,0,594.678234772066,0,NA
2013,458,842,7190149.75,3573533.43991176,5713432,2800505,497.004035265296,490.161605143808,NA
2013,458,858,20613126,7114279.97376486,0,0,345.133483090573,0,NA
